ADMIN ID 1,Inventory numbers,Photo #,DD-MMM-YYYY,Author,"FABRIC LEVIGATION: count and weigh by group, list number of handles, bases, rims, and body shards under #. Coarse#",Coarse_g,CoarseNotes,Med#,Med_g,MedNotes,Fine#,Fine_g,FineNotes,CHRONOLOGY - indicate presence/absence with Y/N NL,EH,MH,Mycenaean,EIA,Geometric,Archaic,Classical,Hellenistic,Arch_Class,Arch_Class_Hell,Roman,Medieval,EarlyMod,MATERIAL: number Tile,Lithics,WorkedStone,Metal,Bone,Shell,Notes
2039,,,Tue Jan 28 00:00:00 CET 2020,"LW, RK",,,,,,,1 rim,1,Red paint,,,,,,,,,,,,,,,1,,,,,,Combed
2040,,,Tue Jan 28 00:00:00 CET 2020,"LW, RK",,,,"3 rims, 1 body sherd",30,1 rim cookware; body sherd cookware,,,,N,N,N,N,N,N,N,N,N,N,Y,Y,N,N,,,,,,,
2041,,,Tue Jan 28 00:00:00 CET 2020,"LW, RK",1 rim,9,With groove,,,,1 body sherd,7,BG,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,,,,,,,
2045,,,Tue Jan 28 00:00:00 CET 2020,"LW, RK",1 body sherd,35,Applied raised piece decoration,1 base,53,,,,,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,,,,,,,
2046,,,Tue Jan 28 00:00:00 CET 2020,"LW, RK",,,,,,,2 bases,16,1 with painted rays *; 1 intact *,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,,,,,,,
2052,2052_1 Obsidian core,,Wed Jan 29 00:00:00 CET 2020,"LW, DM",,,,1 body sherd,1,BG,"1 base, 2 body sherds",5,Base BG; 2 body sherds BG,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,,2,,,,,Obsidian core*; chert flake
4021,4021_1 Black figure feet; 4021_2 Peak/capping tile,,Fri Jan 31 00:00:00 CET 2020,"RK, LW",,,,"1 base, 2 handles, 5 rims, 14 body sherds, 1 other",244,Base triangular; 2 rims grooved; 1 body sherd grooved; other is lid knob *,"7 bases, 2 handles, 4 rims, 15 body sherds",93,3 bases banded BG; 1 base with rays and BG; 2 handles BG; 4 rims BG; 11 body sherds BG; 1 with black figure *,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,2,1,,,,,Obsidian; 2 building fragments from Temple/ House Z including capping/peak tile 970g
10013,,,Mon Jan 27 00:00:00 CET 2020,"AH, LW, BP",,,,1 rim,15,,,,,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,,,,,,,
10017,,075; 076,Mon Jan 27 00:00:00 CET 2020,"AH, LW, BP",,,,2 handles,28,1 with groove,,,,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,,,,,,,
10018,,,Mon Jan 27 00:00:00 CET 2020,"AH, LW, BP",,,,,,,1 handle,75,,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,,,,,,,
